cccd_number,province_code,province_name,gender,birth_year,birth_month,birth_day,birth_date,century,gender_century_code,sequence_number,checksum_digit,valid
022165101042,022,Quảng Ninh,Nữ,1965,10,10,10/10/1965,20,1,4,2,True
022173050239,022,Quảng Ninh,Nữ,1973,5,2,02/05/1973,20,1,3,9,True
022165062859,022,Quảng Ninh,Nữ,1965,6,28,28/06/1965,20,1,5,9,True
022165121693,022,Quảng Ninh,Nữ,1965,12,16,16/12/1965,20,1,9,3,True
022167040392,022,Quảng Ninh,Nữ,1967,4,3,03/04/1967,20,1,9,2,True
022169121035,022,Quảng Ninh,Nữ,1969,12,10,10/12/1969,20,1,3,5,True
022174100540,022,Quảng Ninh,Nữ,1974,10,5,05/10/1974,20,1,4,0,True
022172081010,022,Quảng Ninh,Nữ,1972,8,10,10/08/1972,20,1,1,0,True
022174072432,022,Quảng Ninh,Nữ,1974,7,24,24/07/1974,20,1,3,2,True
022172061937,022,Quảng Ninh,Nữ,1972,6,19,19/06/1972,20,1,3,7,True
022167092535,022,Quảng Ninh,Nữ,1967,9,25,25/09/1967,20,1,3,5,True
022168060852,022,Quảng Ninh,Nữ,1968,6,8,08/06/1968,20,1,5,2,True
022172062088,022,Quảng Ninh,Nữ,1972,6,20,20/06/1972,20,1,8,8,True
022170032481,022,Quảng Ninh,Nữ,1970,3,24,24/03/1970,20,1,8,1,True
022174030658,022,Quảng Ninh,Nữ,1974,3,6,06/03/1974,20,1,5,8,True
022167050432,022,Quảng Ninh,Nữ,1967,5,4,04/05/1967,20,1,3,2,True
022167111353,022,Quảng Ninh,Nữ,1967,11,13,13/11/1967,20,1,5,3,True
022167112954,022,Quảng Ninh,Nữ,1967,11,29,29/11/1967,20,1,5,4,True
022172012977,022,Quảng Ninh,Nữ,1972,1,29,29/01/1972,20,1,7,7,True
022166070396,022,Quảng Ninh,Nữ,1966,7,3,03/07/1966,20,1,9,6,True
022168070479,022,Quảng Ninh,Nữ,1968,7,4,04/07/1968,20,1,7,9,True
022165112011,022,Quảng Ninh,Nữ,1965,11,20,20/11/1965,20,1,1,1,True
022166091283,022,Quảng Ninh,Nữ,1966,9,12,12/09/1966,20,1,8,3,True
022174121668,022,Quảng Ninh,Nữ,1974,12,16,16/12/1974,20,1,6,8,True
022170101338,022,Quảng Ninh,Nữ,1970,10,13,13/10/1970,20,1,3,8,True
022175042757,022,Quảng Ninh,Nữ,1975,4,27,27/04/1975,20,1,5,7,True
022169020338,022,Quảng Ninh,Nữ,1969,2,3,03/02/1969,20,1,3,8,True
022173100419,022,Quảng Ninh,Nữ,1973,10,4,04/10/1973,20,1,1,9,True
022173082016,022,Quảng Ninh,Nữ,1973,8,20,20/08/1973,20,1,1,6,True
022173030369,022,Quảng Ninh,Nữ,1973,3,3,03/03/1973,20,1,6,9,True
022170050292,022,Quảng Ninh,Nữ,1970,5,2,02/05/1970,20,1,9,2,True
022173100367,022,Quảng Ninh,Nữ,1973,10,3,03/10/1973,20,1,6,7,True
022171022269,022,Quảng Ninh,Nữ,1971,2,22,22/02/1971,20,1,6,9,True
022172071110,022,Quảng Ninh,Nữ,1972,7,11,11/07/1972,20,1,1,0,True
022169042950,022,Quảng Ninh,Nữ,1969,4,29,29/04/1969,20,1,5,0,True
022172052124,022,Quảng Ninh,Nữ,1972,5,21,21/05/1972,20,1,2,4,True
022174050397,022,Quảng Ninh,Nữ,1974,5,3,03/05/1974,20,1,9,7,True
022170060439,022,Quảng Ninh,Nữ,1970,6,4,04/06/1970,20,1,3,9,True
022175110182,022,Quảng Ninh,Nữ,1975,11,1,01/11/1975,20,1,8,2,True
022173122217,022,Quảng Ninh,Nữ,1973,12,22,22/12/1973,20,1,1,7,True
022173121795,022,Quảng Ninh,Nữ,1973,12,17,17/12/1973,20,1,9,5,True
022170101897,022,Quảng Ninh,Nữ,1970,10,18,18/10/1970,20,1,9,7,True
022165051181,022,Quảng Ninh,Nữ,1965,5,11,11/05/1965,20,1,8,1,True
022172053035,022,Quảng Ninh,Nữ,1972,5,30,30/05/1972,20,1,3,5,True
022166081921,022,Quảng Ninh,Nữ,1966,8,19,19/08/1966,20,1,2,1,True
022170021476,022,Quảng Ninh,Nữ,1970,2,14,14/02/1970,20,1,7,6,True
022168012068,022,Quảng Ninh,Nữ,1968,1,20,20/01/1968,20,1,6,8,True
022170091581,022,Quảng Ninh,Nữ,1970,9,15,15/09/1970,20,1,8,1,True
022165010449,022,Quảng Ninh,Nữ,1965,1,4,04/01/1965,20,1,4,9,True
022169060813,022,Quảng Ninh,Nữ,1969,6,8,08/06/1969,20,1,1,3,True
022167030599,022,Quảng Ninh,Nữ,1967,3,5,05/03/1967,20,1,9,9,True
022170041294,022,Quảng Ninh,Nữ,1970,4,12,12/04/1970,20,1,9,4,True
022165042952,022,Quảng Ninh,Nữ,1965,4,29,29/04/1965,20,1,5,2,True
022175082889,022,Quảng Ninh,Nữ,1975,8,28,28/08/1975,20,1,8,9,True
022165062929,022,Quảng Ninh,Nữ,1965,6,29,29/06/1965,20,1,2,9,True
022167090634,022,Quảng Ninh,Nữ,1967,9,6,06/09/1967,20,1,3,4,True
022175091568,022,Quảng Ninh,Nữ,1975,9,15,15/09/1975,20,1,6,8,True
022174100559,022,Quảng Ninh,Nữ,1974,10,5,05/10/1974,20,1,5,9,True
022174032081,022,Quảng Ninh,Nữ,1974,3,20,20/03/1974,20,1,8,1,True
022171032372,022,Quảng Ninh,Nữ,1971,3,23,23/03/1971,20,1,7,2,True
022174012759,022,Quảng Ninh,Nữ,1974,1,27,27/01/1974,20,1,5,9,True
022169011738,022,Quảng Ninh,Nữ,1969,1,17,17/01/1969,20,1,3,8,True
022167031598,022,Quảng Ninh,Nữ,1967,3,15,15/03/1967,20,1,9,8,True
022171110935,022,Quảng Ninh,Nữ,1971,11,9,09/11/1971,20,1,3,5,True
022170061535,022,Quảng Ninh,Nữ,1970,6,15,15/06/1970,20,1,3,5,True
022172052948,022,Quảng Ninh,Nữ,1972,5,29,29/05/1972,20,1,4,8,True
022171012031,022,Quảng Ninh,Nữ,1971,1,20,20/01/1971,20,1,3,1,True
022172111959,022,Quảng Ninh,Nữ,1972,11,19,19/11/1972,20,1,5,9,True
022171071973,022,Quảng Ninh,Nữ,1971,7,19,19/07/1971,20,1,7,3,True
022169052090,022,Quảng Ninh,Nữ,1969,5,20,20/05/1969,20,1,9,0,True
022166081055,022,Quảng Ninh,Nữ,1966,8,10,10/08/1966,20,1,5,5,True
022172080358,022,Quảng Ninh,Nữ,1972,8,3,03/08/1972,20,1,5,8,True
022169012250,022,Quảng Ninh,Nữ,1969,1,22,22/01/1969,20,1,5,0,True
022170070825,022,Quảng Ninh,Nữ,1970,7,8,08/07/1970,20,1,2,5,True
022174060385,022,Quảng Ninh,Nữ,1974,6,3,03/06/1974,20,1,8,5,True
022173010268,022,Quảng Ninh,Nữ,1973,1,2,02/01/1973,20,1,6,8,True
022173122624,022,Quảng Ninh,Nữ,1973,12,26,26/12/1973,20,1,2,4,True
022166072631,022,Quảng Ninh,Nữ,1966,7,26,26/07/1966,20,1,3,1,True
022174111050,022,Quảng Ninh,Nữ,1974,11,10,10/11/1974,20,1,5,0,True
022174010469,022,Quảng Ninh,Nữ,1974,1,4,04/01/1974,20,1,6,9,True
022169122265,022,Quảng Ninh,Nữ,1969,12,22,22/12/1969,20,1,6,5,True
022170062543,022,Quảng Ninh,Nữ,1970,6,25,25/06/1970,20,1,4,3,True
022172072252,022,Quảng Ninh,Nữ,1972,7,22,22/07/1972,20,1,5,2,True
022174092454,022,Quảng Ninh,Nữ,1974,9,24,24/09/1974,20,1,5,4,True
022165072227,022,Quảng Ninh,Nữ,1965,7,22,22/07/1965,20,1,2,7,True
022170090245,022,Quảng Ninh,Nữ,1970,9,2,02/09/1970,20,1,4,5,True
022175121647,022,Quảng Ninh,Nữ,1975,12,16,16/12/1975,20,1,4,7,True
022172032731,022,Quảng Ninh,Nữ,1972,3,27,27/03/1972,20,1,3,1,True
022170112282,022,Quảng Ninh,Nữ,1970,11,22,22/11/1970,20,1,8,2,True
022167101888,022,Quảng Ninh,Nữ,1967,10,18,18/10/1967,20,1,8,8,True
022168112492,022,Quảng Ninh,Nữ,1968,11,24,24/11/1968,20,1,9,2,True
022175092549,022,Quảng Ninh,Nữ,1975,9,25,25/09/1975,20,1,4,9,True
022170042150,022,Quảng Ninh,Nữ,1970,4,21,21/04/1970,20,1,5,0,True
022175071467,022,Quảng Ninh,Nữ,1975,7,14,14/07/1975,20,1,6,7,True
022174032115,022,Quảng Ninh,Nữ,1974,3,21,21/03/1974,20,1,1,5,True
022175060726,022,Quảng Ninh,Nữ,1975,6,7,07/06/1975,20,1,2,6,True
022169070324,022,Quảng Ninh,Nữ,1969,7,3,03/07/1969,20,1,2,4,True
022175112269,022,Quảng Ninh,Nữ,1975,11,22,22/11/1975,20,1,6,9,True
022169051897,022,Quảng Ninh,Nữ,1969,5,18,18/05/1969,20,1,9,7,True
022170072036,022,Quảng Ninh,Nữ,1970,7,20,20/07/1970,20,1,3,6,True
022166120938,022,Quảng Ninh,Nữ,1966,12,9,09/12/1966,20,1,3,8,True
022165050739,022,Quảng Ninh,Nữ,1965,5,7,07/05/1965,20,1,3,9,True
022169020620,022,Quảng Ninh,Nữ,1969,2,6,06/02/1969,20,1,2,0,True
022165041148,022,Quảng Ninh,Nữ,1965,4,11,11/04/1965,20,1,4,8,True
022173062535,022,Quảng Ninh,Nữ,1973,6,25,25/06/1973,20,1,3,5,True
022173121351,022,Quảng Ninh,Nữ,1973,12,13,13/12/1973,20,1,5,1,True
022171122763,022,Quảng Ninh,Nữ,1971,12,27,27/12/1971,20,1,6,3,True
022168070576,022,Quảng Ninh,Nữ,1968,7,5,05/07/1968,20,1,7,6,True
022174012281,022,Quảng Ninh,Nữ,1974,1,22,22/01/1974,20,1,8,1,True
022167120971,022,Quảng Ninh,Nữ,1967,12,9,09/12/1967,20,1,7,1,True
022175031469,022,Quảng Ninh,Nữ,1975,3,14,14/03/1975,20,1,6,9,True
022169072739,022,Quảng Ninh,Nữ,1969,7,27,27/07/1969,20,1,3,9,True
022171121287,022,Quảng Ninh,Nữ,1971,12,12,12/12/1971,20,1,8,7,True
022170022828,022,Quảng Ninh,Nữ,1970,2,28,28/02/1970,20,1,2,8,True
022170042929,022,Quảng Ninh,Nữ,1970,4,29,29/04/1970,20,1,2,9,True
022175091054,022,Quảng Ninh,Nữ,1975,9,10,10/09/1975,20,1,5,4,True
022172042686,022,Quảng Ninh,Nữ,1972,4,26,26/04/1972,20,1,8,6,True
022169032050,022,Quảng Ninh,Nữ,1969,3,20,20/03/1969,20,1,5,0,True
022175101874,022,Quảng Ninh,Nữ,1975,10,18,18/10/1975,20,1,7,4,True
022166072589,022,Quảng Ninh,Nữ,1966,7,25,25/07/1966,20,1,8,9,True
022170121086,022,Quảng Ninh,Nữ,1970,12,10,10/12/1970,20,1,8,6,True
022174100726,022,Quảng Ninh,Nữ,1974,10,7,07/10/1974,20,1,2,6,True
022167091794,022,Quảng Ninh,Nữ,1967,9,17,17/09/1967,20,1,9,4,True
022173040214,022,Quảng Ninh,Nữ,1973,4,2,02/04/1973,20,1,1,4,True
022172010951,022,Quảng Ninh,Nữ,1972,1,9,09/01/1972,20,1,5,1,True
022175073191,022,Quảng Ninh,Nữ,1975,7,31,31/07/1975,20,1,9,1,True
022168031832,022,Quảng Ninh,Nữ,1968,3,18,18/03/1968,20,1,3,2,True
022172072331,022,Quảng Ninh,Nữ,1972,7,23,23/07/1972,20,1,3,1,True
022165090436,022,Quảng Ninh,Nữ,1965,9,4,04/09/1965,20,1,3,6,True
022174091145,022,Quảng Ninh,Nữ,1974,9,11,11/09/1974,20,1,4,5,True
022169121725,022,Quảng Ninh,Nữ,1969,12,17,17/12/1969,20,1,2,5,True
022170071295,022,Quảng Ninh,Nữ,1970,7,12,12/07/1970,20,1,9,5,True
022170063074,022,Quảng Ninh,Nữ,1970,6,30,30/06/1970,20,1,7,4,True
022170010629,022,Quảng Ninh,Nữ,1970,1,6,06/01/1970,20,1,2,9,True
022167071064,022,Quảng Ninh,Nữ,1967,7,10,10/07/1967,20,1,6,4,True
022167121998,022,Quảng Ninh,Nữ,1967,12,19,19/12/1967,20,1,9,8,True
022170031349,022,Quảng Ninh,Nữ,1970,3,13,13/03/1970,20,1,4,9,True
022169031820,022,Quảng Ninh,Nữ,1969,3,18,18/03/1969,20,1,2,0,True
022171050457,022,Quảng Ninh,Nữ,1971,5,4,04/05/1971,20,1,5,7,True
022166021266,022,Quảng Ninh,Nữ,1966,2,12,12/02/1966,20,1,6,6,True
022169082231,022,Quảng Ninh,Nữ,1969,8,22,22/08/1969,20,1,3,1,True
022170072045,022,Quảng Ninh,Nữ,1970,7,20,20/07/1970,20,1,4,5,True
022165121019,022,Quảng Ninh,Nữ,1965,12,10,10/12/1965,20,1,1,9,True
022168022214,022,Quảng Ninh,Nữ,1968,2,22,22/02/1968,20,1,1,4,True
022171122286,022,Quảng Ninh,Nữ,1971,12,22,22/12/1971,20,1,8,6,True
022172102669,022,Quảng Ninh,Nữ,1972,10,26,26/10/1972,20,1,6,9,True
022171012581,022,Quảng Ninh,Nữ,1971,1,25,25/01/1971,20,1,8,1,True
022168082526,022,Quảng Ninh,Nữ,1968,8,25,25/08/1968,20,1,2,6,True
022170120573,022,Quảng Ninh,Nữ,1970,12,5,05/12/1970,20,1,7,3,True
022173011744,022,Quảng Ninh,Nữ,1973,1,17,17/01/1973,20,1,4,4,True
022166061875,022,Quảng Ninh,Nữ,1966,6,18,18/06/1966,20,1,7,5,True
022170060767,022,Quảng Ninh,Nữ,1970,6,7,07/06/1970,20,1,6,7,True
022165122142,022,Quảng Ninh,Nữ,1965,12,21,21/12/1965,20,1,4,2,True
022170110655,022,Quảng Ninh,Nữ,1970,11,6,06/11/1970,20,1,5,5,True
022171122259,022,Quảng Ninh,Nữ,1971,12,22,22/12/1971,20,1,5,9,True
022165092160,022,Quảng Ninh,Nữ,1965,9,21,21/09/1965,20,1,6,0,True
022169080631,022,Quảng Ninh,Nữ,1969,8,6,06/08/1969,20,1,3,1,True
022167080840,022,Quảng Ninh,Nữ,1967,8,8,08/08/1967,20,1,4,0,True
022174030621,022,Quảng Ninh,Nữ,1974,3,6,06/03/1974,20,1,2,1,True
022166062573,022,Quảng Ninh,Nữ,1966,6,25,25/06/1966,20,1,7,3,True
022168022427,022,Quảng Ninh,Nữ,1968,2,24,24/02/1968,20,1,2,7,True
022169030627,022,Quảng Ninh,Nữ,1969,3,6,06/03/1969,20,1,2,7,True
022167121712,022,Quảng Ninh,Nữ,1967,12,17,17/12/1967,20,1,1,2,True
022165052144,022,Quảng Ninh,Nữ,1965,5,21,21/05/1965,20,1,4,4,True
022174021960,022,Quảng Ninh,Nữ,1974,2,19,19/02/1974,20,1,6,0,True
022168111369,022,Quảng Ninh,Nữ,1968,11,13,13/11/1968,20,1,6,9,True
022171051924,022,Quảng Ninh,Nữ,1971,5,19,19/05/1971,20,1,2,4,True
022170021829,022,Quảng Ninh,Nữ,1970,2,18,18/02/1970,20,1,2,9,True
022171042111,022,Quảng Ninh,Nữ,1971,4,21,21/04/1971,20,1,1,1,True
022165101918,022,Quảng Ninh,Nữ,1965,10,19,19/10/1965,20,1,1,8,True
022171091126,022,Quảng Ninh,Nữ,1971,9,11,11/09/1971,20,1,2,6,True
022168100682,022,Quảng Ninh,Nữ,1968,10,6,06/10/1968,20,1,8,2,True
022173121388,022,Quảng Ninh,Nữ,1973,12,13,13/12/1973,20,1,8,8,True
022174091367,022,Quảng Ninh,Nữ,1974,9,13,13/09/1974,20,1,6,7,True
022175063033,022,Quảng Ninh,Nữ,1975,6,30,30/06/1975,20,1,3,3,True
022169030496,022,Quảng Ninh,Nữ,1969,3,4,04/03/1969,20,1,9,6,True
022167111919,022,Quảng Ninh,Nữ,1967,11,19,19/11/1967,20,1,1,9,True
022167090193,022,Quảng Ninh,Nữ,1967,9,1,01/09/1967,20,1,9,3,True
022167100515,022,Quảng Ninh,Nữ,1967,10,5,05/10/1967,20,1,1,5,True
022169060345,022,Quảng Ninh,Nữ,1969,6,3,03/06/1969,20,1,4,5,True
022175092965,022,Quảng Ninh,Nữ,1975,9,29,29/09/1975,20,1,6,5,True
022171072237,022,Quảng Ninh,Nữ,1971,7,22,22/07/1971,20,1,3,7,True
022167022679,022,Quảng Ninh,Nữ,1967,2,26,26/02/1967,20,1,7,9,True
022168062319,022,Quảng Ninh,Nữ,1968,6,23,23/06/1968,20,1,1,9,True
022171060825,022,Quảng Ninh,Nữ,1971,6,8,08/06/1971,20,1,2,5,True
022174091321,022,Quảng Ninh,Nữ,1974,9,13,13/09/1974,20,1,2,1,True
022171021349,022,Quảng Ninh,Nữ,1971,2,13,13/02/1971,20,1,4,9,True
022168120428,022,Quảng Ninh,Nữ,1968,12,4,04/12/1968,20,1,2,8,True
022172040873,022,Quảng Ninh,Nữ,1972,4,8,08/04/1972,20,1,7,3,True
022172072492,022,Quảng Ninh,Nữ,1972,7,24,24/07/1972,20,1,9,2,True
022174100498,022,Quảng Ninh,Nữ,1974,10,4,04/10/1974,20,1,9,8,True
022168122347,022,Quảng Ninh,Nữ,1968,12,23,23/12/1968,20,1,4,7,True
022169081029,022,Quảng Ninh,Nữ,1969,8,10,10/08/1969,20,1,2,9,True
022167072665,022,Quảng Ninh,Nữ,1967,7,26,26/07/1967,20,1,6,5,True
022167031312,022,Quảng Ninh,Nữ,1967,3,13,13/03/1967,20,1,1,2,True
022168061824,022,Quảng Ninh,Nữ,1968,6,18,18/06/1968,20,1,2,4,True
022171090561,022,Quảng Ninh,Nữ,1971,9,5,05/09/1971,20,1,6,1,True
022166031360,022,Quảng Ninh,Nữ,1966,3,13,13/03/1966,20,1,6,0,True
022173021282,022,Quảng Ninh,Nữ,1973,2,12,12/02/1973,20,1,8,2,True
022174031073,022,Quảng Ninh,Nữ,1974,3,10,10/03/1974,20,1,7,3,True
022166062333,022,Quảng Ninh,Nữ,1966,6,23,23/06/1966,20,1,3,3,True
022171091515,022,Quảng Ninh,Nữ,1971,9,15,15/09/1971,20,1,1,5,True
022168022560,022,Quảng Ninh,Nữ,1968,2,25,25/02/1968,20,1,6,0,True
022166122167,022,Quảng Ninh,Nữ,1966,12,21,21/12/1966,20,1,6,7,True
022171060241,022,Quảng Ninh,Nữ,1971,6,2,02/06/1971,20,1,4,1,True
022170062914,022,Quảng Ninh,Nữ,1970,6,29,29/06/1970,20,1,1,4,True
022173051256,022,Quảng Ninh,Nữ,1973,5,12,12/05/1973,20,1,5,6,True
022169110686,022,Quảng Ninh,Nữ,1969,11,6,06/11/1969,20,1,8,6,True
022166081693,022,Quảng Ninh,Nữ,1966,8,16,16/08/1966,20,1,9,3,True
022172110987,022,Quảng Ninh,Nữ,1972,11,9,09/11/1972,20,1,8,7,True
022168032354,022,Quảng Ninh,Nữ,1968,3,23,23/03/1968,20,1,5,4,True
022171062531,022,Quảng Ninh,Nữ,1971,6,25,25/06/1971,20,1,3,1,True
022173010949,022,Quảng Ninh,Nữ,1973,1,9,09/01/1973,20,1,4,9,True
022172071086,022,Quảng Ninh,Nữ,1972,7,10,10/07/1972,20,1,8,6,True
022167092313,022,Quảng Ninh,Nữ,1967,9,23,23/09/1967,20,1,1,3,True
022173051548,022,Quảng Ninh,Nữ,1973,5,15,15/05/1973,20,1,4,8,True
022166072358,022,Quảng Ninh,Nữ,1966,7,23,23/07/1966,20,1,5,8,True
022168101140,022,Quảng Ninh,Nữ,1968,10,11,11/10/1968,20,1,4,0,True
022175121443,022,Quảng Ninh,Nữ,1975,12,14,14/12/1975,20,1,4,3,True
022173102170,022,Quảng Ninh,Nữ,1973,10,21,21/10/1973,20,1,7,0,True
022170011585,022,Quảng Ninh,Nữ,1970,1,15,15/01/1970,20,1,8,5,True
022165091578,022,Quảng Ninh,Nữ,1965,9,15,15/09/1965,20,1,7,8,True
022172052513,022,Quảng Ninh,Nữ,1972,5,25,25/05/1972,20,1,1,3,True
022169021258,022,Quảng Ninh,Nữ,1969,2,12,12/02/1969,20,1,5,8,True
022166120275,022,Quảng Ninh,Nữ,1966,12,2,02/12/1966,20,1,7,5,True
022168032390,022,Quảng Ninh,Nữ,1968,3,23,23/03/1968,20,1,9,0,True
022167122094,022,Quảng Ninh,Nữ,1967,12,20,20/12/1967,20,1,9,4,True
022170032889,022,Quảng Ninh,Nữ,1970,3,28,28/03/1970,20,1,8,9,True
022165070353,022,Quảng Ninh,Nữ,1965,7,3,03/07/1965,20,1,5,3,True
022170072434,022,Quảng Ninh,Nữ,1970,7,24,24/07/1970,20,1,3,4,True
022175102183,022,Quảng Ninh,Nữ,1975,10,21,21/10/1975,20,1,8,3,True
022175022610,022,Quảng Ninh,Nữ,1975,2,26,26/02/1975,20,1,1,0,True
022166070174,022,Quảng Ninh,Nữ,1966,7,1,01/07/1966,20,1,7,4,True
022169021586,022,Quảng Ninh,Nữ,1969,2,15,15/02/1969,20,1,8,6,True
022169052948,022,Quảng Ninh,Nữ,1969,5,29,29/05/1969,20,1,4,8,True
022172042914,022,Quảng Ninh,Nữ,1972,4,29,29/04/1972,20,1,1,4,True
022173012619,022,Quảng Ninh,Nữ,1973,1,26,26/01/1973,20,1,1,9,True
022166010127,022,Quảng Ninh,Nữ,1966,1,1,01/01/1966,20,1,2,7,True
022169082480,022,Quảng Ninh,Nữ,1969,8,24,24/08/1969,20,1,8,0,True
022174100212,022,Quảng Ninh,Nữ,1974,10,2,02/10/1974,20,1,1,2,True
022166122723,022,Quảng Ninh,Nữ,1966,12,27,27/12/1966,20,1,2,3,True
022167040310,022,Quảng Ninh,Nữ,1967,4,3,03/04/1967,20,1,1,0,True
022171112845,022,Quảng Ninh,Nữ,1971,11,28,28/11/1971,20,1,4,5,True
022165060718,022,Quảng Ninh,Nữ,1965,6,7,07/06/1965,20,1,1,8,True
022167062747,022,Quảng Ninh,Nữ,1967,6,27,27/06/1967,20,1,4,7,True
022170010522,022,Quảng Ninh,Nữ,1970,1,5,05/01/1970,20,1,2,2,True
022167101240,022,Quảng Ninh,Nữ,1967,10,12,12/10/1967,20,1,4,0,True
022168120127,022,Quảng Ninh,Nữ,1968,12,1,01/12/1968,20,1,2,7,True
022167070685,022,Quảng Ninh,Nữ,1967,7,6,06/07/1967,20,1,8,5,True
022171090482,022,Quảng Ninh,Nữ,1971,9,4,04/09/1971,20,1,8,2,True
022165052117,022,Quảng Ninh,Nữ,1965,5,21,21/05/1965,20,1,1,7,True
022165121657,022,Quảng Ninh,Nữ,1965,12,16,16/12/1965,20,1,5,7,True
022167040648,022,Quảng Ninh,Nữ,1967,4,6,06/04/1967,20,1,4,8,True
022165091170,022,Quảng Ninh,Nữ,1965,9,11,11/09/1965,20,1,7,0,True
022165010449,022,Quảng Ninh,Nữ,1965,1,4,04/01/1965,20,1,4,9,True
022168080342,022,Quảng Ninh,Nữ,1968,8,3,03/08/1968,20,1,4,2,True
022175090930,022,Quảng Ninh,Nữ,1975,9,9,09/09/1975,20,1,3,0,True
022173050293,022,Quảng Ninh,Nữ,1973,5,2,02/05/1973,20,1,9,3,True
022165050997,022,Quảng Ninh,Nữ,1965,5,9,09/05/1965,20,1,9,7,True
022169122663,022,Quảng Ninh,Nữ,1969,12,26,26/12/1969,20,1,6,3,True
022168101177,022,Quảng Ninh,Nữ,1968,10,11,11/10/1968,20,1,7,7,True
022166071447,022,Quảng Ninh,Nữ,1966,7,14,14/07/1966,20,1,4,7,True
022168070868,022,Quảng Ninh,Nữ,1968,7,8,08/07/1968,20,1,6,8,True
022172021887,022,Quảng Ninh,Nữ,1972,2,18,18/02/1972,20,1,8,7,True
022170112547,022,Quảng Ninh,Nữ,1970,11,25,25/11/1970,20,1,4,7,True
022169053114,022,Quảng Ninh,Nữ,1969,5,31,31/05/1969,20,1,1,4,True
022172072544,022,Quảng Ninh,Nữ,1972,7,25,25/07/1972,20,1,4,4,True
022173013168,022,Quảng Ninh,Nữ,1973,1,31,31/01/1973,20,1,6,8,True
022166092857,022,Quảng Ninh,Nữ,1966,9,28,28/09/1966,20,1,5,7,True
022174111342,022,Quảng Ninh,Nữ,1974,11,13,13/11/1974,20,1,4,2,True
022166041941,022,Quảng Ninh,Nữ,1966,4,19,19/04/1966,20,1,4,1,True
022166092990,022,Quảng Ninh,Nữ,1966,9,29,29/09/1966,20,1,9,0,True
022174060419,022,Quảng Ninh,Nữ,1974,6,4,04/06/1974,20,1,1,9,True
022165120296,022,Quảng Ninh,Nữ,1965,12,2,02/12/1965,20,1,9,6,True
022175112463,022,Quảng Ninh,Nữ,1975,11,24,24/11/1975,20,1,6,3,True
022174021614,022,Quảng Ninh,Nữ,1974,2,16,16/02/1974,20,1,1,4,True
022171031814,022,Quảng Ninh,Nữ,1971,3,18,18/03/1971,20,1,1,4,True
022175070246,022,Quảng Ninh,Nữ,1975,7,2,02/07/1975,20,1,4,6,True
022167012575,022,Quảng Ninh,Nữ,1967,1,25,25/01/1967,20,1,7,5,True
022172082338,022,Quảng Ninh,Nữ,1972,8,23,23/08/1972,20,1,3,8,True
022169090267,022,Quảng Ninh,Nữ,1969,9,2,02/09/1969,20,1,6,7,True
022171062683,022,Quảng Ninh,Nữ,1971,6,26,26/06/1971,20,1,8,3,True
